"FK_ArtsID,""Antall"",""AntallFlokk"",""RuteID"",""Aar1"",""LinjeIngenObs"",""LinjeIkkeTaksert"",""DatoEndret"""
20,1,NA,1930,2009,NA,NA,2009-08-13 01:13:10
950,12,NA,1930,2009,NA,NA,2009-08-13 01:13:10
1060,3,NA,1930,2009,NA,NA,2009-08-13 01:13:10
1530,4,NA,1930,2009,NA,NA,2009-08-13 01:13:10
1820,3,NA,1930,2009,NA,NA,2009-08-13 01:13:10
1880,1,NA,1930,2009,NA,NA,2009-08-13 01:13:10
2060,3,NA,1930,2009,NA,NA,2009-08-13 01:13:10
2210,1,NA,1930,2009,NA,NA,2009-08-13 01:13:10
2760,30,NA,1930,2009,NA,NA,2009-08-13 01:13:10
2920,203,NA,1930,2009,NA,NA,2009-08-13 01:13:10
1050,NA,93,1930,2009,NA,NA,2009-08-13 01:13:10
4230,2,NA,1930,2009,NA,NA,2009-08-13 01:13:10
2350,1,NA,1215,2009,NA,NA,2009-08-13 09:25:54
1170,1,NA,1215,2009,NA,NA,2009-08-13 09:25:54
3600,1,NA,1215,2009,NA,NA,2009-08-13 09:25:54
5780,1,NA,1215,2009,NA,NA,2009-08-13 09:25:54
4120,1,NA,1215,2009,NA,NA,2009-08-13 09:25:54
930,NA,4,1842,2009,NA,NA,2009-08-14 08:54:57
990,NA,4,1842,2009,NA,NA,2009-08-14 08:54:57
2060,1,NA,1842,2009,NA,NA,2009-08-14 08:54:57
1530,2,NA,1862,2009,NA,NA,2009-08-17 10:42:24
1540,2,NA,1862,2009,NA,NA,2009-08-17 10:42:24
590,1,NA,1401,2009,NA,NA,2009-08-17 20:14:27
2210,1,NA,1422,2009,NA,NA,2009-08-18 19:02:46
2210,1,NA,1423,2009,NA,NA,2009-08-20 18:10:02
4040,1,NA,1423,2009,NA,NA,2009-08-20 18:10:02
1880,1,NA,1428,2009,NA,NA,2009-08-25 21:15:09
1200,1,NA,1428,2009,NA,NA,2009-08-25 21:15:09
1060,NA,5,1428,2009,NA,NA,2009-08-25 21:15:09
5380,2,NA,1428,2009,NA,NA,2009-08-25 21:15:09
3970,1,NA,1428,2009,NA,NA,2009-08-25 21:15:09
4620,1,NA,1428,2009,NA,NA,2009-08-25 21:15:09
1530,4,NA,1402,2009,NA,NA,2009-08-25 21:42:45
1540,1,NA,1402,2009,NA,NA,2009-08-25 21:42:45
2060,1,NA,1402,2009,NA,NA,2009-08-25 21:42:45
2140,2,NA,1402,2009,NA,NA,2009-08-25 21:42:45
1530,2,NA,1405,2009,NA,NA,2009-08-25 21:48:38
1880,15,NA,1405,2009,NA,NA,2009-08-25 21:48:38
1910,2,NA,1405,2009,NA,NA,2009-08-25 21:48:38
1970,1,NA,1405,2009,NA,NA,2009-08-25 21:48:38
3970,2,NA,1405,2009,NA,NA,2009-08-25 21:48:38
2140,1,NA,1102,2009,NA,NA,2009-08-25 22:41:56
3650,1,NA,1102,2009,NA,NA,2009-08-25 22:41:56
3870,3,NA,1102,2009,NA,NA,2009-08-25 22:41:56
3910,1,NA,1102,2009,NA,NA,2009-08-25 22:41:56
4570,4,NA,1102,2009,NA,NA,2009-08-25 22:41:56
4840,2,NA,1102,2009,NA,NA,2009-08-25 22:41:56
4930,2,NA,1102,2009,NA,NA,2009-08-25 22:41:56
5520,NA,34,1102,2009,NA,NA,2009-08-25 22:41:56
5740,1,NA,1102,2009,NA,NA,2009-08-25 22:41:56
1540,1,NA,1606,2009,NA,NA,2009-08-27 18:59:58
4040,1,NA,1606,2009,NA,NA,2009-08-27 18:59:58
1540,2,NA,1603,2009,NA,NA,2009-08-27 19:16:49
2060,1,NA,1601,2009,NA,NA,2009-08-27 19:35:14
1850,1,NA,1701,2009,NA,NA,2009-08-28 08:39:25
2090,1,NA,1701,2009,NA,NA,2009-08-28 08:39:25
5360,1,NA,1701,2009,NA,NA,2009-08-28 08:39:25
5060,1,NA,1701,2009,NA,NA,2009-08-28 08:39:25
1880,1,NA,1702,2009,NA,NA,2009-08-28 09:03:18
5560,1,NA,1702,2009,NA,NA,2009-08-28 09:03:18
5480,1,NA,1702,2009,NA,NA,2009-08-28 09:03:18
3790,1,NA,1702,2009,NA,NA,2009-08-28 09:03:18
2210,1,NA,1704,2009,NA,NA,2009-08-28 09:18:12
1850,1,NA,1704,2009,NA,NA,2009-08-28 09:18:12
1640,1,NA,1704,2009,NA,NA,2009-08-28 09:18:12
390,1,NA,1704,2009,NA,NA,2009-08-28 09:18:12
2230,1,NA,908,2009,NA,NA,2009-08-29 17:17:27
900,3,NA,910,2009,NA,NA,2009-08-29 17:37:48
1510,3,NA,910,2009,NA,NA,2009-08-29 17:37:48
1500,1,NA,910,2009,NA,NA,2009-08-29 17:37:48
4230,1,NA,910,2009,NA,NA,2009-08-29 17:37:48
1200,1,NA,911,2009,NA,NA,2009-08-29 17:45:51
2140,1,NA,1502,2009,NA,NA,2009-08-29 18:48:59
3970,1,NA,1502,2009,NA,NA,2009-08-29 18:48:59
4840,2,NA,1502,2009,NA,NA,2009-08-29 18:48:59
1530,3,NA,1608,2009,NA,NA,2009-08-31 10:50:16
2060,2,NA,1608,2009,NA,NA,2009-08-31 10:50:16
1530,1,NA,1612,2009,NA,NA,2009-08-31 11:10:04
2090,1,NA,1612,2009,NA,NA,2009-08-31 11:10:04
1540,2,NA,438,2009,NA,NA,2009-08-31 21:36:09
800,1,NA,1840,2009,NA,NA,2009-09-01 13:36:18
1450,1,NA,1840,2009,NA,NA,2009-09-01 13:36:18
1510,2,NA,1840,2009,NA,NA,2009-09-01 13:36:18
1850,1,NA,1840,2009,NA,NA,2009-09-01 13:36:18
2210,1,NA,1840,2009,NA,NA,2009-09-01 13:36:18
2000,2,NA,1840,2009,NA,NA,2009-09-01 13:36:18
2060,2,NA,1840,2009,NA,NA,2009-09-01 13:36:18
2090,1,NA,1840,2009,NA,NA,2009-09-01 13:36:18
