Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
615_11;2016;60.56195492;8.186894684;1054
615_12;2016;60.5592826;8.187454198;1096
615_13;2016;60.55660129;8.188013842;1163
615_15;2016;60.55125672;8.18915063;1058
615_16;2016;60.54858438;8.189709765;1015
615_17;2016;60.54829995;8.184283809;1044
615_18;2016;60.54802427;8.178857722;1057
615_19;2016;60.54774838;8.173431729;1064
615_20;2016;60.54746317;8.167987832;1084
615_1;2017;60.54718684;8.162562029;1086
615_2;2017;60.54985906;8.162000681;1105
615_3;2017;60.55254015;8.161420774;1131
615_4;2017;60.55521237;8.160859234;1156
615_5;2017;60.55788458;8.160297601;1165
615_6;2017;60.56055679;8.159735873;1129
615_7;2017;60.56084222;8.165163658;1113
615_8;2017;60.56111846;8.17059177;1101
615_9;2017;60.56139447;8.176019977;1092
615_10;2017;60.56167924;8.181448051;1066
615_11;2017;60.56195492;8.186894684;1054
615_13;2017;60.55660129;8.188013842;1163
615_14;2017;60.55392906;8.1885914;1135
615_15;2017;60.55125672;8.18915063;1058
615_17;2017;60.54829995;8.184283809;1044
615_18;2017;60.54802427;8.178857722;1057
615_19;2017;60.54774838;8.173431729;1064
615_20;2017;60.54746317;8.167987832;1084
615_1;2018;60.54718684;8.162562029;1086
615_2;2018;60.54985906;8.162000681;1105
615_3;2018;60.55254015;8.161420774;1131
615_4;2018;60.55521237;8.160859234;1156
615_5;2018;60.55788458;8.160297601;1165
615_6;2018;60.56055679;8.159735873;1129
615_7;2018;60.56084222;8.165163658;1113
615_8;2018;60.56111846;8.17059177;1101
615_9;2018;60.56139447;8.176019977;1092
615_10;2018;60.56167924;8.181448051;1066
615_11;2018;60.56195492;8.186894684;1054
615_12;2018;60.5592826;8.187454198;1096
615_13;2018;60.55660129;8.188013842;1163
615_14;2018;60.55392906;8.1885914;1135
615_15;2018;60.55125672;8.18915063;1058
615_16;2018;60.54858438;8.189709765;1015
615_17;2018;60.54829995;8.184283809;1044
615_18;2018;60.54802427;8.178857722;1057
615_19;2018;60.54774838;8.173431729;1064
615_20;2018;60.54746317;8.167987832;1084
615_1;2019;60.54718684;8.162562029;1086
615_2;2019;60.54985906;8.162000681;1105
615_3;2019;60.55254015;8.161420774;1131
615_4;2019;60.55521237;8.160859234;1156
615_5;2019;60.55788458;8.160297601;1165
615_7;2019;60.56084222;8.165163658;1113
615_8;2019;60.56111846;8.17059177;1101
615_9;2019;60.56139447;8.176019977;1092
