Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3549;2005;1605;2;21;100;;;;;;;
3550;2005;1605;3;21;70;;;;;;;
3551;2005;1605;4;21;100;;;;;;;
3552;2005;1605;5;21;100;;;;;;;
3553;2005;1605;6;21;90;;;;;;;
3554;2005;1605;7;21;80;;;;;;;
3555;2005;1605;8;21;90;;;;;;;
3556;2005;1605;9;21;100;;;;;;;
3557;2005;1605;10;21;100;;;;;;;
3558;2005;1605;11;21;100;;;;;;;
3559;2005;1605;12;21;100;;;;;;;
3560;2005;1605;13;15;50;;;;;;;
3561;2005;1605;14;21;90;;;;;;;
3562;2005;1605;15;13;60;;;;;;;
3563;2005;1605;16;21;100;;;;;;;
3564;2005;1605;17;21;100;;;;;;;
3565;2005;1605;18;21;100;;;;;;;
3566;2005;1605;19;21;100;;;;;;;
3567;2005;1605;20;21;100;;;;;;;
3568;2005;1606;1;22;100;;;;;;;
3569;2005;1606;2;22;100;;;;;;;
3570;2005;1606;3;24;100;;;;;;;
3571;2005;1606;4;24;100;;;;;;;
3572;2005;1606;5;24;100;;;;;;;
3573;2005;1606;6;24;100;;;;;;;
3574;2005;1606;7;24;100;;;;;;;
3575;2005;1606;8;24;100;;;;;;;
3576;2005;1606;9;22;100;;;;;;;
3577;2005;1606;10;22;100;;;;;;;
3578;2005;1606;11;22;100;;;;;;;
3579;2005;1606;12;24;100;;;;;;;
3580;2005;1606;13;24;100;;;;;;;
3581;2005;1606;14;24;100;;;;;;;
3582;2005;1606;15;24;100;;;;;;;
3583;2005;1606;16;24;100;;;;;;;
3584;2005;1606;17;24;100;;;;;;;
3585;2005;1606;18;22;100;;;;;;;
3586;2005;1606;19;22;100;;;;;;;
3587;2005;1606;20;22;100;;;;;;;
3588;2005;1609;1;12;50;;;;;;;
3589;2005;1609;2;22;60;;;;;;;
3590;2005;1609;3;12;50;;;;;;;
3591;2005;1609;4;12;50;;;;;;;
3592;2005;1609;5;3;80;;;;;;;
3593;2005;1609;6;5;100;;;;;;;
3594;2005;1609;7;7;100;;;;;;;
3595;2005;1609;8;12;50;;;;;;;
3596;2005;1609;9;7;100;;;;;;;
3597;2005;1609;10;5;100;;;;;;;
3598;2005;1609;11;5;100;;;;;;;
3599;2005;1609;12;5;80;;;;;;;
3600;2005;1609;13;5;100;;;;;;;
3601;2005;1609;14;12;100;;;;;;;
3602;2005;1609;15;12;100;;;;;;;
3603;2005;1609;16;22;60;;;;;;;
3604;2005;1609;17;22;100;;;;;;;
3605;2005;1609;18;3;100;;;;;;;
3606;2005;1609;19;3;100;;;;;;;
3607;2005;1610;1;17;80;;;;;;;
3608;2005;1610;2;4;95;;;;;;;
3609;2005;1610;3;8;100;;;;;;;
3610;2005;1610;4;7;100;;;;;;;
3611;2005;1610;5;2;70;;;;;;;
3612;2005;1610;6;2;95;;;;;;;
3613;2005;1610;7;4;93;;;;;;;
3614;2005;1610;8;3;75;;;;;;;
3615;2005;1610;9;2;50;;;;;;;
3616;2005;1610;10;15;100;;;;;;;
3617;2005;1610;11;17;98;;;;;;;
3618;2005;1610;12;15;99;;;;;;;
3619;2005;1610;13;17;90;;;;;;;
3620;2005;1610;14;2;45;;;;;;;
3621;2005;1610;15;16;100;;;;;;;
3622;2005;1610;16;2;98;;;;;;;
3623;2005;1610;17;2;98;;;;;;;
3624;2005;1610;18;4;98;;;;;;;
3625;2005;1610;19;4;96;;;;;;;
3626;2005;1613;1;13;70;;;;;;;
3627;2005;1613;2;21;100;;;;;;;
3628;2005;1613;3;13;50;;;;;;;
3629;2005;1613;4;21;50;;;;;;;
3630;2005;1613;5;22;60;;;;;;;
3631;2005;1613;6;22;100;;;;;;;
3632;2005;1613;7;21;40;;;;;;;
3633;2005;1613;8;13;70;;;;;;;
3634;2005;1613;9;13;70;;;;;;;
3635;2005;1613;10;13;70;;;;;;;
3636;2005;1613;11;21;70;;;;;;;
3637;2005;1613;12;21;50;;;;;;;
3638;2005;1613;13;28;60;;;;;;;
3639;2005;1613;14;13;60;;;;;;;
3640;2005;1613;15;13;90;;;;;;;
3641;2005;1613;16;13;50;;;;;;;
3642;2005;1613;17;13;100;;;;;;;
3643;2005;1613;18;13;100;;;;;;;
3644;2005;1613;19;13;60;;;;;;;
3645;2005;1613;20;13;100;;;;;;;
3646;2005;1618;1;1;40;;;;;;;
3647;2005;1618;2;12;60;;;;;;;
3648;2005;1618;3;1;80;;;;;;;
3649;2005;1618;5;1;100;;;;;;;
3650;2005;1618;6;11;50;;;;;;;
3651;2005;1618;7;1;100;;;;;;;
3652;2005;1618;8;1;50;;;;;;;
3653;2005;1618;9;1;60;;;;;;;
3654;2005;1618;10;8;70;;;;;;;
